epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,9058.82,1.5557,1.31788,0.01959,0.70447,0.5352,0.5916,0.36453,1.50796,1.60687,0.02311,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,9245.28,1.55039,1.31517,0.01941,0.69694,0.53691,0.58973,0.36444,1.50886,1.60584,0.02312,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,9429.62,1.54303,1.31104,0.01936,0.68938,0.543,0.58878,0.364,1.50668,1.60578,0.02312,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,9613.46,1.53545,1.30396,0.01935,0.68744,0.54103,0.58796,0.36363,1.50535,1.60834,0.02305,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,9797.92,1.53591,1.30503,0.01931,0.68858,0.54371,0.58835,0.36411,1.50676,1.60566,0.02306,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,9984.71,1.53998,1.30254,0.0193,0.68206,0.54428,0.58959,0.3647,1.50513,1.60558,0.02304,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,10167.2,1.53748,1.29539,0.01944,0.68374,0.54114,0.58763,0.36456,1.50412,1.60751,0.023,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,10349.2,1.53963,1.28529,0.01943,0.68192,0.54249,0.58643,0.36427,1.50352,1.60769,0.023,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,10530.8,1.52423,1.29034,0.01911,0.68078,0.5405,0.58696,0.36527,1.50415,1.60591,0.02302,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,10713.3,1.53432,1.25948,0.01909,0.69124,0.53631,0.58676,0.36471,1.50211,1.60791,0.02294,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,10896.6,1.53788,1.27594,0.01919,0.68591,0.53763,0.58774,0.36583,1.50009,1.60787,0.02294,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,11077.9,1.53647,1.26147,0.01921,0.69217,0.53305,0.58582,0.36568,1.4994,1.60535,0.02294,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
